epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.32338,0,23.8402,0,0,0,0,0,0,0,0,1.28e-06,1.28e-06,1.28e-06
2,4.63908,0,23.8381,0,0,0,0,0,0,0,0,3.76397e-06,3.76397e-06,3.76397e-06
3,6.78515,0,23.8226,0,0,0,0,0,0,0,0,6.14656e-06,6.14656e-06,6.14656e-06
4,8.95947,0,23.8193,0,0,0,0,0,0,0,0,8.42778e-06,8.42778e-06,8.42778e-06
5,11.4014,0,23.8184,0,0,0,0,0,0,0,0,1.06076e-05,1.06076e-05,1.06076e-05
6,13.4263,0,23.8049,0,0,0,0,0,0,0,0,1.26861e-05,1.26861e-05,1.26861e-05
7,15.5133,0,23.779,0,0,0,0,0,0,0,0,1.46632e-05,1.46632e-05,1.46632e-05
8,17.9598,0,23.7856,0,0,0,0,0,0,0,0,1.65389e-05,1.65389e-05,1.65389e-05
9,20.5659,0,23.7588,0,0,0,0,0,0,0,0,1.83132e-05,1.83132e-05,1.83132e-05
10,22.8583,0,23.7629,0,0,0,0,0,0,0,0,1.99862e-05,1.99862e-05,1.99862e-05
11,24.8317,0,23.7473,0,0,0,0,0,0,0,0,2.15578e-05,2.15578e-05,2.15578e-05
12,26.9814,0,23.7443,0,0,0,0,0,0,0,0,2.3028e-05,2.3028e-05,2.3028e-05
13,28.9984,0,23.7154,0,0,0,0,0,0,0,0,2.43968e-05,2.43968e-05,2.43968e-05
14,31.0068,0,23.714,0,0,0,0,0,0,0,0,2.56643e-05,2.56643e-05,2.56643e-05
15,33.1372,0,23.7141,0,0,0,0,0,0,0,0,2.68303e-05,2.68303e-05,2.68303e-05
16,35.1028,0,23.6916,0,0,0,0,0,0,0,0,2.7895e-05,2.7895e-05,2.7895e-05
17,37.2219,0,23.6893,0,0,0,0,0,0,0,0,2.88584e-05,2.88584e-05,2.88584e-05
18,39.3135,0,23.6805,0,0,0,0,0,0,0,0,2.97203e-05,2.97203e-05,2.97203e-05
19,41.2851,0,23.6657,0,0,0,0,0,0,0,0,3.04809e-05,3.04809e-05,3.04809e-05
20,43.3106,0,23.667,0,0,0,0,0,0,0,0,3.11401e-05,3.11401e-05,3.11401e-05
21,45.3346,0,23.658,0,0,0,0,0,0,0,0,3.16979e-05,3.16979e-05,3.16979e-05
22,47.4717,0,23.633,0,0,0,0,0,0,0,0,3.21544e-05,3.21544e-05,3.21544e-05
23,49.4886,0,23.6286,0,0,0,0,0,0,0,0,3.25094e-05,3.25094e-05,3.25094e-05
24,51.5388,0,23.6309,0,0,0,0,0,0,0,0,3.27631e-05,3.27631e-05,3.27631e-05
25,53.7064,0,23.6342,0,0,0,0,0,0,0,0,3.29155e-05,3.29155e-05,3.29155e-05
26,55.8791,0,23.6009,0,0,0,0,0,0,0,0,3.29664e-05,3.29664e-05,3.29664e-05
27,57.9658,0,23.5903,0,0,0,0,0,0,0,0,3.2916e-05,3.2916e-05,3.2916e-05
28,59.9996,0,23.6015,0,0,0,0,0,0,0,0,3.27642e-05,3.27642e-05,3.27642e-05
29,61.9404,0,23.6002,0,0,0,0,0,0,0,0,3.2511e-05,3.2511e-05,3.2511e-05
30,64.0212,0,23.5951,0,0,0,0,0,0,0,0,3.21564e-05,3.21564e-05,3.21564e-05
31,66.0292,0,23.5579,0,0,0,0,0,0,0,0,3.17005e-05,3.17005e-05,3.17005e-05
32,68.0071,0,23.5586,0,0,0,0,0,0,0,0,3.11432e-05,3.11432e-05,3.11432e-05
33,70.1403,0,23.5657,0,0,0,0,0,0,0,0,3.04845e-05,3.04845e-05,3.04845e-05
34,72.0915,0,23.5695,0,0,0,0,0,0,0,0,2.97244e-05,2.97244e-05,2.97244e-05
35,74.0913,0,23.5648,0,0,0,0,0,0,0,0,2.8863e-05,2.8863e-05,2.8863e-05
36,76.1335,0,23.5641,0,0,0,0,0,0,0,0,2.79002e-05,2.79002e-05,2.79002e-05
37,78.2906,0,23.5458,0,0,0,0,0,0,0,0,2.6836e-05,2.6836e-05,2.6836e-05
38,80.5232,0,23.528,0,0,0,0,0,0,0,0,2.56704e-05,2.56704e-05,2.56704e-05
39,82.7076,0,23.5528,0,0,0,0,0,0,0,0,2.44035e-05,2.44035e-05,2.44035e-05
40,84.7468,0,23.5211,0,0,0,0,0,0,0,0,2.30351e-05,2.30351e-05,2.30351e-05
41,86.7556,0,23.5382,0,0,0,0,0,0,0,0,2.15654e-05,2.15654e-05,2.15654e-05
42,88.8362,0,23.5484,0,0,0,0,0,0,0,0,1.99944e-05,1.99944e-05,1.99944e-05
43,91.1384,0,23.5434,0,0,0,0,0,0,0,0,1.83219e-05,1.83219e-05,1.83219e-05
44,93.1916,0,23.5129,0,0,0,0,0,0,0,0,1.65481e-05,1.65481e-05,1.65481e-05
45,95.1946,0,23.5289,0,0,0,0,0,0,0,0,1.46729e-05,1.46729e-05,1.46729e-05
46,97.2716,0,23.5189,0,0,0,0,0,0,0,0,1.26963e-05,1.26963e-05,1.26963e-05
47,99.3827,0,23.5112,0,0,0,0,0,0,0,0,1.06184e-05,1.06184e-05,1.06184e-05
48,101.406,0,23.5143,0,0,0,0,0,0,0,0,8.43904e-06,8.43904e-06,8.43904e-06
49,103.354,0,23.51,0,0,0,0,0,0,0,0,6.15834e-06,6.15834e-06,6.15834e-06
